SPX (S&P 500 INDEX),2684.79,+2.17,
Dec 28 2017 @ 11:12 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Dec 2825.00 (SPX1821L2825),71.95,0.0,66.4,71.8,0,646,18 Dec 2825.00 (SPX1821X2825),197.54,-1.56,194.8,201.6,10,173,
18 Dec 2850.00 (SPX1821L2850),59.0,0.0,55.9,61.1,0,5062,18 Dec 2850.00 (SPX1821X2850),212.74,0.0,208.5,215.5,0,146,
18 Dec 2875.00 (SPX1821L2875),49.3,-0.25,46.5,51.5,100,302,18 Dec 2875.00 (SPX1821X2875),225.65,0.0,223.3,230.6,0,19,
18 Dec 2900.00 (SPX1821L2900),41.0,0.0,38.1,42.8,0,16035,18 Dec 2900.00 (SPX1821X2900),242.51,-0.89,239.2,246.8,1,556,
18 Dec 2950.00 (SPX1821L2950),27.7,0.0,24.7,28.9,0,5280,18 Dec 2950.00 (SPX1821X2950),0.0,0.0,274.3,282.4,0,0,
18 Dec 3000.00 (SPX1821L3000),17.75,0.0,15.6,19.0,0,32111,18 Dec 3000.00 (SPX1821X3000),312.08,0.0,313.4,321.9,0,136,
18 Dec 3100.00 (SPX1821L3100),7.2,-0.38,7.2,8.2,1,15622,18 Dec 3100.00 (SPX1821X3100),524.8,0.0,401.0,410.2,0,5,
18 Dec 3200.00 (SPX1821L3200),3.1,-0.1,2.4,4.5,10,2388,18 Dec 3200.00 (SPX1821X3200),0.0,0.0,495.1,504.7,0,0,
18 Dec 3300.00 (SPX1821L3300),1.9,-0.5,1.0,3.0,110,78,18 Dec 3300.00 (SPX1821X3300),893.05,0.0,591.6,601.3,0,12,
18 Dec 3400.00 (SPX1821L3400),2.0,0.0,0.25,2.0,0,224,18 Dec 3400.00 (SPX1821X3400),891.0,0.0,688.9,698.7,0,2,
18 Dec 3500.00 (SPX1821L3500),0.8,0.0,0.6,0.9,0,1997,18 Dec 3500.00 (SPX1821X3500),818.05,0.0,786.4,796.4,0,1332,
